Epoch,MAE train,MSE train,CE train,MAE val,MSE val,CE val
1,11.915268,11.558715,12.7785,11.052902,14.136786,12.622234
2,11.199353,11.174522,11.439935,32.588918,28.969889,9.459646
3,11.126631,11.18585,9.105695,24.702325,12.97453,10.453503
4,11.033772,11.232505,9.027184,10.939565,12.009535,8.264166
5,10.905755,11.221017,9.28331,10.586268,11.031643,9.014717
6,10.07927,11.18141,8.951693,9.557696,11.733667,8.613112
7,8.896953,11.198237,8.589456,53.187899,11.143129,9.906588
8,7.811789,11.184629,8.343977,11.424689,11.192486,10.435887
9,7.11001,10.431311,8.132426,6.77609,10.917213,9.062122
10,6.659283,8.601329,7.935717,5.97319,7.734848,8.024976
11,6.449915,8.096153,7.844023,6.415237,6.75912,6.816764
12,6.260664,7.683745,7.540657,6.539072,6.824369,6.997196
13,6.082457,7.348565,7.285541,5.913688,6.974944,7.046947
14,5.975762,7.13086,7.099878,5.435034,6.947742,8.281129
15,5.946413,6.788276,6.675849,5.329733,6.262928,6.524714
16,5.804039,6.296664,6.224102,6.47242,6.176465,5.574281
17,5.727941,6.095919,6.052054,6.19067,5.723781,5.797249
18,5.610352,5.903199,5.908984,5.550589,5.103682,5.656298
19,5.548635,5.7411,5.895771,5.28418,5.090833,5.268303
20,5.532901,5.701652,5.840039,5.789057,5.000829,5.911347
21,5.392856,5.51474,5.761562,4.739338,5.378015,5.186811
22,5.369807,5.498866,5.618982,4.952709,4.956507,5.092753
23,5.320754,5.456766,5.56009,4.827076,4.949216,5.685636
24,5.273579,5.37214,5.503093,4.755649,4.711592,5.533054
25,5.174821,5.309687,5.515393,6.178825,5.960175,5.271174
26,5.174668,5.300106,5.457443,7.068675,8.986131,5.846529
27,5.065754,5.166491,5.420408,5.321788,5.512697,5.127098
28,5.03843,5.127305,5.416053,4.761144,4.817403,5.93627
29,4.684603,5.080615,5.287041,5.113572,5.099046,5.083884
30,4.566129,4.98091,5.231072,4.66931,4.97225,5.344208
31,4.469759,4.935111,5.223765,4.637261,5.229853,5.036351
32,4.467944,4.523459,5.158119,5.222627,4.792413,5.011793
33,4.366758,4.391521,5.140411,4.870744,4.41991,4.870775
34,4.37344,4.371083,5.120087,4.7083,4.861902,5.044932
35,4.301752,4.299225,5.108769,4.57449,4.456534,4.937557
36,4.27022,4.284757,5.121623,4.981562,4.474695,5.737155
37,4.228746,4.217187,5.023129,4.720932,4.49102,5.622719
38,4.206044,4.195999,4.938044,4.648122,4.522708,5.499225
39,4.165366,4.171288,4.962404,4.552575,4.440788,5.200674
40,4.121316,4.113712,4.890943,4.748262,4.504898,5.117019
41,4.060618,3.987553,4.610076,4.626876,4.711608,4.821633
42,4.051215,3.942491,4.422712,4.930112,4.46482,4.815066
43,4.032104,3.972808,4.348995,4.560919,4.491541,4.748093
44,3.958831,3.961373,4.335378,4.598285,4.435715,4.823014
45,3.889903,3.917347,4.287226,4.635088,4.446932,4.75175
46,3.88153,3.889946,4.309339,4.740485,4.470206,4.696965
47,3.718469,,4.238709,4.582118,,4.74321
48,3.730583,,4.24585,4.880781,,4.69468
49,3.716687,,4.222497,4.872804,,4.985113
50,3.708816,,4.14695,5.072408,,4.959943
51,3.697453,,4.138439,4.9389,,4.694574
52,3.665918,,4.115987,5.17683,,4.889021
53,,,4.122208,,,4.715023
54,,,4.058362,,,4.7478
55,,,4.048519,,,4.859503
56,,,3.96397,,,4.70771
57,,,3.938976,,,4.741211
58,,,3.939136,,,4.733331
59,,,3.928578,,,4.905893
60,,,3.930085,,,4.717783
61,,,3.900446,,,4.723142
62,,,3.918476,,,4.72117
63,,,3.920527,,,4.718525
64,,,3.922223,,,4.743259
