Epoch,MAE train,MSE train,CE train,MAE val,MSE val,CE val
1,11.999306,11.875512,12.701809,10.802824,18.968286,13.557048
2,11.147291,11.340745,12.717238,10.603691,155.357501,13.152928
3,10.09164,11.388893,12.801776,9.391363,22.476344,12.076882
4,9.08447,11.172312,12.844699,8.507129,457.191531,12.076882
5,8.729117,11.24487,12.690013,8.470801,11.257103,13.003215
6,8.453914,10.197844,12.756717,7.736424,8.216655,13.003691
7,8.245346,8.410722,12.829597,8.275199,9.048767,12.503152
8,8.118894,7.761553,12.809112,7.560545,8.937801,12.076882
9,7.598714,7.28329,12.900095,6.343753,9.595918,12.076882
10,6.155804,6.890247,12.823572,5.561965,6.208046,12.076882
11,5.985412,6.725359,12.389484,5.255043,5.976978,12.076882
12,5.820282,6.437472,12.249891,5.314562,5.537538,13.003691
13,5.690229,6.217176,12.615835,5.528083,5.932571,13.003691
14,5.637591,6.078579,13.070232,5.045573,8.027795,13.003691
15,5.562705,5.927878,13.070232,5.304118,5.695592,13.003691
16,5.50621,5.795498,13.070232,4.883472,8.54412,13.003691
17,5.516793,5.728223,,5.481469,7.747279,
18,5.431217,5.610542,,5.075501,5.9065,
19,5.325747,5.568068,,4.953149,5.020873,
20,5.232568,5.421306,,5.346038,5.626545,
21,5.20752,5.378948,,5.424374,6.612582,
22,5.202328,5.325592,,4.866146,6.222798,
23,5.141514,5.227463,,5.727923,7.47536,
24,5.130936,5.18546,,6.16698,5.548093,
25,5.101855,5.138354,,4.728872,4.764279,
26,5.045453,5.043159,,4.614777,4.902137,
27,4.978749,4.979113,,5.121195,6.579132,
28,4.950574,4.973742,,4.717756,4.575187,
29,4.900494,4.840843,,4.564667,4.840852,
30,4.861806,4.823938,,4.787105,4.900247,
31,4.856459,4.755842,,4.518149,4.634351,
32,4.855392,4.741227,,5.350256,5.207826,
33,4.834047,4.637573,,4.480795,7.09675,
34,4.775076,4.491852,,5.622417,5.406554,
35,4.70579,4.42167,,4.996495,5.062851,
36,4.693692,3.926984,,4.529565,4.981625,
37,4.701587,3.803357,,4.419039,4.896434,
38,4.632649,3.683162,,4.394724,4.82605,
39,4.609242,3.623549,,4.7422,4.445211,
40,4.589298,3.529054,,5.297317,4.585183,
41,4.579517,3.508191,,5.278617,4.717297,
42,4.52256,3.41184,,4.918895,4.755501,
43,4.481896,3.332834,,4.819634,4.959963,
44,4.465267,3.297533,,4.616978,4.732755,
45,4.426458,3.18527,,4.929343,4.913953,
46,4.047789,3.139473,,4.29744,4.507826,
47,3.994703,2.998026,,4.588787,5.002181,
48,3.992514,2.98159,,4.267506,4.734625,
49,3.916309,2.98602,,4.387757,4.797224,
50,3.883881,2.946146,,4.757256,5.00369,
51,3.909229,2.957157,,4.495384,4.72941,
52,3.863829,2.949298,,4.253326,4.735625,
53,3.855538,,,4.267217,,
54,3.852579,,,4.195187,,
55,3.822857,,,4.171122,,
56,3.799311,,,4.209452,,
57,3.795407,,,4.366903,,
58,3.763837,,,4.328479,,
59,3.731846,,,4.739825,,
60,3.709133,,,4.481916,,
61,3.695479,,,4.403265,,
62,3.698167,,,4.254505,,
63,3.613401,,,4.291609,,
64,3.592074,,,4.162713,,
65,3.587611,,,4.183863,,
66,3.577924,,,4.352474,,
67,3.578061,,,4.538275,,
68,3.594561,,,4.288223,,
69,3.562707,,,4.213471,,
70,3.578809,,,4.270267,,
71,3.546974,,,4.508016,,
72,3.544583,,,4.380639,,
73,3.540959,,,4.456179,,
74,3.545611,,,4.235206,,
75,3.560622,,,4.47231,,
76,3.560278,,,4.275853,,
77,3.537628,,,4.282465,,
